name,genres,year,country,producer,imdb_rating,link
Не отвечай по телефону!,,1980,США,Роберт Хаммер,4.8,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5_%D0%BE%D1%82%D0%B2%D0%B5%D1%87%D0%B0%D0%B9_%D0%BF%D0%BE_%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD%D1%83!
Клуб монстров,"ужасы,, ,кинокомедия",1980,Великобритания,Рой Уорд Бейкер,5.9,https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D1%83%D0%B1_%D0%BC%D0%BE%D0%BD%D1%81%D1%82%D1%80%D0%BE%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Крики в ночи,,1980,Канада,Уильям Фрюэт,5.1,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B8%D0%BA%D0%B8_%D0%B2_%D0%BD%D0%BE%D1%87%D0%B8
Мы собираемся вас съесть,"боевик,приключенческий фильм,фильм ужасов, ,комедия",1980,Гонконг,Цуй Харк,6.5,https://ru.wikipedia.org/wiki/%D0%9C%D1%8B_%D1%81%D0%BE%D0%B1%D0%B8%D1%80%D0%B0%D0%B5%D0%BC%D1%81%D1%8F_%D0%B2%D0%B0%D1%81_%D1%81%D1%8A%D0%B5%D1%81%D1%82%D1%8C
Маньяк,слэшер,1980,США,Уильям Лустиг,6.4,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D1%8C%D1%8F%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Макабро,фильм ужасов,1980,Италия,Ламберто Бава,5.8,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D0%B1%D1%80%D0%BE
Катафалк,"фильм ужасов,, ,триллер,, ,драма",1980,США,Джордж Бауэрс,4.8,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B0%D1%84%D0%B0%D0%BB%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Затемнение,"триллер, ,драма, ,слэшер",1980,,Вернон Зиммерман,6.1,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D1%82%D0%B5%D0%BC%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Девятая конфигурация,психологическая драма,1980,США,Уильям Питер Блэтти,6.8,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B2%D1%8F%D1%82%D0%B0%D1%8F_%D0%BA%D0%BE%D0%BD%D1%84%D0%B8%D0%B3%D1%83%D1%80%D0%B0%D1%86%D0%B8%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Заражение,"фантастика,фильм ужасов",1980,Италия,Луиджи Коцци,5.1,"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
День матери,"сатирический, ,фильм ужасов",1980,США,Чарльз Кауфман,5.3,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D1%8C_%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Дети,фильм ужасов,1980,США,Макс Калманович,5.4,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%82%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Дом на краю парка,"ужасы,триллер",1980,,Руджеро Деодато,5.7,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC_%D0%BD%D0%B0_%D0%BA%D1%80%D0%B0%D1%8E_%D0%BF%D0%B0%D1%80%D0%BA%D0%B0
Школьный бал,"слэшер,[1]",1980,Канада,Пол Линч,5.3,"https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%BE%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Город зомби,фильм ужасов,1980,Италия,Умберто Ленци,5.6,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BE%D0%B4_%D0%B7%D0%BE%D0%BC%D0%B1%D0%B8
Город живых мертвецов,фильм ужасов,1980,Италия,Лучо Фульчи,6.2,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BE%D0%B4_%D0%B6%D0%B8%D0%B2%D1%8B%D1%85_%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B5%D1%86%D0%BE%D0%B2
Встречи с привидениями,"боевик,комедия,фэнтези",1980,Гонконг,Саммо Хун,7.0,https://ru.wikipedia.org/wiki/%D0%92%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%B8_%D1%81_%D0%BF%D1%80%D0%B8%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%D0%BC%D0%B8
